#SampleID,ph
103.BZ1,5.12
103.CR1,8.0
103.GB2,7.57
103.GB3,7.18
103.GB1,6.84
103.GB5,8.22
103.CM1,7.85
103.HJ1,5.41
103.HJ2,5.36
103.AR1,5.8
103.AR2,6.0
103.AR3,5.9
103.SF2,8.38
103.SF1,7.71
103.SN3,5.74
103.SN1,4.95
103.KP4,7.1
103.TL3,4.23
103.TL2,6.47
103.TL1,4.58
103.KP3,7.92
103.MT2,6.66
103.MT1,7.57
103.VC1,5.55
103.VC2,5.99
103.CL1,5.68
103.CL2,5.57
103.CL3,4.89
103.CL4,5.03
103.SP1,6.25
103.SP2,5.13
103.MD4,8.86
103.MD5,8.07
103.MD2,7.65
103.SA2,8.1
103.SA1,6.9
103.SK1,5.45
103.SK3,5.83
103.SK2,6.18
103.CO1,6.13
103.CO3,6.02
103.CO2,5.68
103.PE1,4.12
103.PE2,4.11
103.PE3,4.25
103.PE4,4.1
103.PE5,3.57
103.PE6,4.12
103.PE7,5.51
103.BP1,7.53
103.DF1,5.37
103.DF3,5.05
103.DF2,6.84
103.SR2,8.0
103.BF2,3.61
103.BF1,4.05
103.SR1,6.84
103.MD3,7.9
103.SR3,6.95
103.HF1,4.25
103.CA2,8.02
103.CA1,7.27
103.HF2,3.98
103.SB1,7.92
103.CF2,3.63
103.CF3,3.56
103.CF1,3.92
103.JT1,7.6
103.IE1,5.27
103.IE2,5.52
103.RT1,7.92
103.RT2,8.07
103.CC1,6.06
103.LQ1,4.89
103.LQ2,5.03
103.LQ3,4.67
103.KP1,6.37
103.MP2,4.38
103.MP1,4.56
103.IT2,5.42
103.IT1,5.78
103.SV2,8.44
103.BB2,4.6
103.BB1,4.3
103.SV1,8.31
103.HI4,4.92
103.HI1,6.45
103.HI2,6.32
103.HI3,6.53
